ARBITRATION 2021,,,by club,,,,"4 player victories, 5 club victories",,,,
Player ,Season,Club,Pos'n,MLS,2020 WARP,Career WARP,2020 Salary,Player Request,Club                 Offer,2021 Salary,.
"Manaea, Sean",2021,OAK,lhp-s,4.157,0.9,6.5,"$3,750,000 ",,,"$5,950,000 ",
"Montas, Frankie",2021,OAK,rhp,3.015,0.0,2.3,"$573,500 ",,,"$1,800,000 ",
"Olson, Matt",2021,OAK,1b,3.103,1.2,9.8,"$603,500 ",,,"$5,000,000 ",
"Pinder, Chad",2021,OAK,2b-of,4.047,0.0,3.3,"$2,025,000 ",,,"$2,275,000 ",
"Smith, Burch",2021,OAK,rhp,3.095,0.2,-1.1,"$680,000 ",,,"$705,000 ",
"Trivino, Lou",2021,OAK,rhp,2.163,0.3,2.3,"$568,500 ",,,"$912,500 ",
"Alvarado, Jose",2021,PHI,lhp,3.088,0.1,2.2,"$573,100 ",,,"$1,000,000 ",
"Dominguez, Seranthony",2021,PHI,rhp,2.147,-,1.6,"$571,500 ",,,"$727,500 ",
"Eflin, Zach",2021,PHI,rhp-s,4.018,1.9,3.0,"$2,625,000 ",,,"$4,450,000 ",
"Hale, David",2021,PHI,rhp-s,3.163,0.8,0.8,"$800,000 ",,,"$850,000 ",
"Hoskins, Rhys",2021,PHI,1b,3.053,0.5,8.5,"$605,000 ",,,"$4,800,000 ",
"Knapp, Andrew",2021,PHI,c,4.000,0.2,-0.2,"$710,000 ",,,"$1,100,000 ",
"Neris, Hector",2021,PHI,rhp,5.068,0.5,6.7,"$4,600,000 ",,,"$5,000,000 ",
"Velasquez, Vincent",2021,PHI,rhp-s,5.086,0.7,5.6,"$3,600,000 ",,,"$4,000,000 ",
"Brault, Steven",2021,PIT,lhp-s,3.085,0.3,1.0,"$590,500 ",,,"$2,050,000 ",
"Crick, Kyle",2021,PIT,rhp,3.104,0.1,0.6,"$590,000 ",,,"$800,000 ",
"Feliz, Michael",2021,PIT,rhp,4.169,0.0,4.0,"$1,100,000 ",,,"$1,000,000 ",
"Frazier, Adam",2021,PIT,ss-of,4.075,1.0,4.7,"$2,800,000 ",,,"$4,300,000 ",
"Gonzalez, Erik",2021,PIT,ss,4.007,-0.2,0.1,"$725,000 ",,,"$1,225,000 ",
"Kuhl, Chad",2021,PIT,rhp-s,4.079,0.3,2.1,"$840,000 ",,,"$2,130,000 ",
"Moran, Colin",2021,PIT,3b,3.107,0.4,0.6,"$593,500 ",,,"$2,800,000 ",
"Musgrove, Joe",2021,PIT,rhp-s,4.063,0.9,9.3,"$2,800,000 ",,,"$4,450,000 ",
"Osuna, Jose",2021,PIT,of,3.036,0.2,0.7,"$589,500 ",,released,,
"Rodriguez, Richard",2021,PIT,rhp,3.016,0.5,2.5,"$633,500 ",,,"$1,700,000 ",
"Stallings, Jacob",2021,PIT,c,2.149,0.7,3.2,"$586,500 ",,,"$1,300,000 ",
"Stratton, Chris",2021,PIT,rhp-s,3.100,0.8,2.3,"$588,500 ",,,"$1,100,000 ",
"Taillon, Jameson",2021,PIT,rhp-s,4.110,0.8,9.0,"$2,250,000 ",,,"$2,250,000 ",
"Williams, Trevor",2021,PIT,rhp-s,4.027,-0.5,3.3,"$2,825,000 ",,DFA,,
"Altavilla, Dan",2021,SDN,rhp,3.063,0.2,1.5,"$573,500 ",,,"$850,000 ",
"Caratini, Victor",2021,SDN,c,3.051,0.0,1.4,"$592,000 ",,,"$1,300,000 ",
"Clevinger, Mike",2021,SDN,rhp-s,4.013,0.3,10.1,"$4,100,000 ",2 yr / $11M,extension,,
"Garcia, Greg",2021,SDN,ss,5.083,0.2,3.2,"$1,500,000 ",,non-tendered,,
"Lamet, Dinelson",2021,SDN,rhp-s,3.130,2.1,6.2,"$1,300,000 ",,,"$4,200,000 ",
"Pagan, Emilio",2021,SDN,rhp,3.091,0.1,3.2,"$591,000 ",,,"$1,570,000 ",
"Perdomo, Luis",2021,SDN,rhp-s,4.072,0.4,1.7,"$950,000 ",,DFA,,
"Pham, Tommy",2021,SDN,lf,5.107,0.1,7.6,"$7,900,000 ",,,"$8,900,000 ",
"Strahm, Matt",2021,SDN,lhp,4.064,0.2,2.7,"$1,400,000 ",,,"$2,050,000 ",
"Crawford, J.P.",2021,SEA,ss,2.163,1.2,3.1,"$575,800 ",,,"$2,050,000 ",
"Haniger, Mitch",2021,SEA,rf,4.048,1.4,7.8,"$3,010,000 ",,,"$3,010,000 ",
"Montero, Rafael",2021,SEA,rhp,4.138,0.1,2.5,"$785,000 ",,,"$2,250,000 ",
"Murphy, Tom",2021,SEA,c,3.092,2.0,2.0,"$577,300 ",,,"$875,000 ",
"Anderson, Tyler",2021,SFN,lhp-s,5.065,-0.4,2.6,"$1,775,000 ",,non-tendered,,
"Dickerson, Alex",2021,SFN,lf,4.120,0.8,1.4,"$925,000 ",,,"$2,100,000 ",
"Garcia, Jarlin",2021,SFN,lhp,3.114,0.3,1.3,"$588,500 ",,,"$950,000 ",
"Gott, Trevor",2021,SFN,rhp,3.048,-0.1,-0.1,"$588,500 ",,,"$700,000 ",
"Moronta, Reyes",2021,SFN,rhp,3.028,-,2.3,"$588,500 ",,,"$695,000 ",
"Peralta, Wandy",2021,SFN,lhp,3.168,0.5,-1.1,"$805,000 ",,,"$925,000 ",
"Robertson, Daniel",2021,SFN,ss,3.029,0.0,2.4,"$1,025,000 ",,non-tendered,,
"Ruf, Darin",2021,SFN,1b-of,3.138,0.4,0.6,"$800,000 ",,,"$1,275,000 ",
"Slater, Austin",2021,SFN,of,2.147,0.6,0.0,"$576,000 ",,,"$1,150,000 ",
"Solano, Donovan",2021,SFN,2b-3b,5.081,0.0,2.8,"$1,375,000 ","$3,900,000 ","$3,250,000 ","$3,250,000 ",
"Bader, Harrison",2021,SLN,of,3.030,-0.4,4.6,"$590,100 ",,,"$2,000,000 ",
"Brebbia, John",2021,SLN,rhp,3.093,-,2.5,"$587,600 ",,non-tendered,,
"Flaherty, Jack",2021,SLN,rhp-s,3.006,0.7,12.2,"$604,500 ","$3,900,000 ","$3,000,000 ","$3,900,000 ",
"Gant, John",2021,SLN,rhp,4.004,0.5,3.5,"$1,300,000 ",,,"$2,100,000 ",
"Hicks, Jordan",2021,SLN,rhp,3.000,-,-0.3,"$578,800 ",,,"$862,500 ",
"Reyes, Alex",2021,SLN,rhp-s,3.043,0.4,1.2,,,,"$900,000 ",
"Chirinos, Yonny",2021,TBA,rhp-s,2.137,0.0,2.9,"$576,700 ",,,"$1,175,000 ",
"Choi, Ji-Man",2021,TBA,1b,3.076,0.1,1.6,"$850,000 ","$2,450,000 ","$1,850,000 ","$2,450,000 ",
"Glasnow, Tyler",2021,TBA,rhp-s,3.158,1.4,3.3,"$2,050,000 ",,,"$4,000,000 ",
"Margot, Manuel",2021,TBA,cf,4.012,0.4,2.5,"$2,475,000 ",,,"$3,400,000 ",
"Renfroe, Hunter",2021,TBA,rf,3.165,0.1,4.4,"$3,300,000 ",,outrighted-FA,,
"Wendle, Joey",2021,TBA,3b-2b,3.088,0.8,4.8,"$575,600 ",,,"$2,250,000 ",
"Yarbrough, Ryan",2021,TBA,lhp-s,2.147,0.7,3.6,"$578,500 ","$3,100,000 ","$2,300,000 ","$2,300,000 ",
"Gallo, Joey",2021,TEX,3b,4.103,0.8,9.4,"$4,400,000 ",,,"$6,200,000 ",
"Kiner-Falefa, Isiah",2021,TEX,c,3.000,0.2,-0.2,"$587,000 ",,,"$2,000,000 ",
"Santana, Danny",2021,TEX,cf-rf,5.140,-0.1,2.3,"$3,600,000 ",,non-tendered,,
"Cole, A.J.",2021,TOR,rhp-s,3.124,0.1,0.4,"$850,000 ",,non-tendered,,
"Hernandez, Teoscar",2021,TOR,lf,3.097,1.1,4.6,"$602,200 ",,,"$4,325,000 ",
"Shaw, Travis",2021,TOR,3b,5.053,0.5,10.7,"$4,000,000 ",,non-tendered,,
"Stripling, Ross",2021,TOR,rhp,4.115,-0.8,8.5,"$2,100,000 ",,,"$3,000,000 ",
"Bell, Josh",2021,WAS,1b-rf,4.053,-0.1,2.4,"$4,800,000 ",,,"$6,350,000 ",
