ARBITRATION 2023,,,by club,,,,"6 player victories, 13 club victories",,,   ,
Player ,Season,Club,Pos'n,MLS,2022 WARP,Career WARP,2022 Salary,Player Request,Club                 Offer,2023 Salary,Estimate
"Alonso, Pete",2023,NYN,1b,4.000,5.4,14.4,"$7,400,000 ",,,"$14,500,000 ","$15,000,000"
"Brigham, Jeff",2023,NYN,rhp,3.010,0.3,0.7,,,,"$760,000 ","$1,000,000"
"Curtiss, John",2023,NYN,rhp,3.045,-,1.2,"$700,000 ",,,,"$825,000"
"Guillorme, Luis",2023,NYN,inf,3.167,1.4,2.1,"$875,000 ",,,"$1,600,000 ","$1,500,000"
"Hernandez, Elieser",2023,NYN,rhp,4.051,0.0,2.0,"$1,325,000 ",,,"$1,600,000 ","$1,625,000"
"Lucchesi, Joey",2023,NYN,lhp-s,4.067,-,4.3,"$1,150,000 ",,,"$1,150,000 ","$1,200,000"
"McNeil, Jeff",2023,NYN,2b,4.069,3.6,9.3,"$3,000,000 ","$7,750,000 ","$6,250,000 ",,"$6,000,000"
"Nido, Tomás",2023,NYN,c,4.089,1.9,4.2,"$890,000 ",,,"$1,575,000 ","$2,000,000"
"Smith, Dominic",2023,NYN,1b,4.081,-0.1,0.0,"$3,950,000 ",,non-tendered,,"$4,100,000"
"Smith, Drew",2023,NYN,rhp,4.034,0.8,1.3,"$750,000 ",,,"$1,300,000 ","$1,400,000"
"Vogelbach, Daniel",2023,NYN,1b,4.138,0.7,3.5,"$800,000 ",,,,"$2,600,000"
"Blackburn, Paul",2023,OAK,rhp,3.018,0.6,0.4,"$710,000 ",,,"$1,900,000 ","$1,200,000"
"Guerra, Deolis",2023,OAK,rhp,4.071,-,1.2,"$815,000 ",,non-tendered,,"$825,000"
"Kemp, Tony",2023,OAK,2b-of,5.098,1.5,5.5,"$2,225,000 ",,,"$3,725,000 ","$3,500,000"
"Laureano, Ramon",2023,OAK,cf,3.165,0.8,9.4,"$2,046,154 ",,,"$3,550,000 ","$4,000,000"
"Pruitt, Austin",2023,OAK,rhp,4.055,0.3,1.4,,,outrighted,,"$1,275,000"
"Alvarado, José",2023,PHI,lhp,5.082,1.6,4.3,"$1,900,000 ","$3,700,000 ","$3,200,000 ","$3,450,000 ","$3,500,000"
"Coonrod, Sam",2023,PHI,rhp,3.078,0.0,1.1,"$717,500 ",,,"$775,000 ","$900,000"
"Domínguez, Seranthony",2023,PHI,rhp,4.131,1.0,2.6,"$727,500 ","$2,900,000 ","$2,100,000 ",2 y/$7.25 extn,"$2,250,000"
"Hoskins, Rhys",2023,PHI,1b,5.053,2.6,13.3,"$7,700,000 ",,,"$12,000,000 ","$11,000,000"
"Munoz, Yairo",2023,PHI,ss,3.003,0.1,0.7,,,outrighted,,"$900,000"
"Sosa, Edmundo",2023,PHI,ss,2.140,0.1,1.9,"$715,600 ",,,"$950,000 ","$1,250,000"
"Soto, Gregory",2023,PHI,lhp,3.102,0.4,1.4,"$722,400 ",,,"$3,925,000 ","$950,000"
"Suárez, Ranger",2023,PHI,lhp-s,3.112,0.1,2.6,"$730,000 ",,,"$2,950,000 ","$2,600,000"
"Andújar, Miguel",2023,PIT,3b,4.002,0.1,2.7,,,,"$1,525,000 ","$2,250,000"
"Brubaker, JT",2023,PIT,rhp,3.000,1.0,3.5,"$725,000 ",,,"$2,275,000 ","$2,150,000"
"Choi, Ji-Man",2023,PIT,1b,5.076,-0.3,2.1,"$3,200,000 ","$5,400,000 ","$4,650,000 ","$4,650,000 ","$3,750,000"
"Keller, Mitch",2023,PIT,rhp,3.026,1.2,2.3,"$725,000 ",,,"$2,437,500 ","$2,000,000"
"Stephenson, Robert",2023,PIT,rhp,5.049,0.2,3.2,"$1,280,000 ",,,"$1,750,000 ","$1,500,000"
"Underwood, Duane",2023,PIT,rhp,3.044,0.8,1.9,"$725,000 ",,,"$1,025,000 ","$1,300,000"
"Adams, Austin L.",2023,SDN,rhp,4.015,0.0,1.7,"$925,000 ",,outrighted,,"$1,350,000"
